Office,Address,State,Country,Company,Latitude,Longitude
Seattle,410 Terry Ave N,Washington,United States,Amazon,47.62465946,-122.3365013
Arlington,Crystal City,Virgina,United States,Amazon,38.85831998,-77.05175284
Atlanta,3333 Piedmont Rd NE,Georgia,United States,Amazon,33.84827036,-84.37204337
Austin,11501 Alterra Pkwy,Texas,United States,Amazon,30.4069923,-97.71901265
Baltimore,2010 Broening Hwy,Maryland,United States,Amazon,39.26828956,-76.54976232
Bellevue,"425 106th Ave NE, Bellevue",Washington,United States,Amazon,47.61744672,-122.1999849
Boardman,73577 Lewis and Clark Dr,Oregan,United States,Amazon,40.01820468,-105.2755799
Boulder,"1900 15th St, Boulder",Colrado,United States,Amazon,40.56215307,-75.61741218
Breinigsville,705 Boulder Dr,Pennsylvania,United States,Amazon,40.66213713,-74.00410291
Brooklyn,"850 3rd Ave, Brooklyn",New york,United States,Amazon,40.66252777,-74.00547621
Caledonia,4500 68th St SE,Michigan,United States,Amazon,42.84094803,-85.55316226
Campbellsville,1051 S Columbia Ave,Kentucky,United States,Amazon,37.33885385,-85.34960774
Campbellsville,1188 S Columbia Ave,Kentucky,United States,Amazon,37.33923464,-85.34823475
Carlisle,40 Logistics Dr,Pennsylvania,United States,Amazon,40.19492224,77.22480858
Carteret,308 Middlesex Ave,New Jersey,United States,Amazon,40.56485931,-74.22183977
Charleston,225 Infinity Dr,Tennessee,United States,Amazon,35.28283823,-84.8121439
Charlotte,300 Dalton Ave,North Carolina,United States,Amazon,35.24024335,-80.83093457
Chattanooga,7200 Discovery Drive,Tennessee,United States,Amazon,35.06909995,-85.14167309
Chester,1901 Meadowville Technology Pkwy,Virgina,United States,Amazon,37.35230735,-77.32699373
Chicago,227 W Monroe St,Illinois,United States,Amazon,42.06476338,-87.63901404
Columbus,2114 N High St,Ohio,United States,Amazon,40.00563695,-83.00887647
Coppell,940 W Bethel Rd,Texas,United States,Amazon,38.26611569,-121.9415076
Cupertino,10201 Torre Ave,California,United States,Amazon,33.14649309,-96.78818602
Dallas,33333 Lyndon B Johnson Fwy,Texas,United States,Amazon,32.66082933,-96.7370197
Detroit,150 W Jefferson Srv Rd,Michigan,United States,Amazon,42.38175077,-83.04003559
East Palo Alto,1900 University Ave,California,United States,Amazon,37.98969914,-122.2054329
Fall River,1180 Innovation Way,Massachusetts,United States,Amazon,41.76215845,-71.09547606
Florence Township,"309 Cedar Ln, Florence",New Jersey,United States,Amazon,40.19648247,-74.78117368
Fort Worth,700 Westport Pkwy,TExas,United States,Amazon,33.42243688,-97.29897198
Hazleton,"550 Oak Ridge Rd, Hazle Township",Pennsylvania,United States,Amazon,40.99654611,-76.01128126
Hebron,3680 Langley Dr,Kentucky,United States,Amazon,39.20817804,-84.75494828
Herndon,12900 Worldgate Dr,Virgina,United States,Amazon,38.95597558,-77.3964076
Huntington,500 Kinetic Dr,West Virgina,United States,Amazon,38.53969631,-82.45423142
Indianapolis,710 S Girls School Rd,Indiana,United States,Amazon,39.86405614,-86.30807508
Irvine,"40 Pacifica, 40 Pacifica #100",California,United States,Amazon,34.45568488,-117.6883728
Irving,2700 Regent Blvd,Texas,United States,Amazon,33.41830007,-97.09339165
Kenosha,3501 120th Ave,Wisconsin,United States,Amazon,42.74451574,-87.95715496
Lakeland,1760 County Line Rd,Florida,United States,Amazon,28.02048286,-82.05394006
Lewisberry,500 McCarthy Dr,PA,United States,Amazon,40.23865907,-76.85096529
Lexington,1850 Mercer Rd,Kentucky,United States,Amazon,38.07529168,-84.5294885
Logan Township,2277 Center Square Rd,New Jersey,United States,Amazon,39.89178362,-75.3580237
Louisville,7230 Global Dr,Kentucky,United States,Amazon,38.13975592,-85.89319453
Minneapolis,323 N Washington Ave,Minnesota,United States,Amazon,45.10861843,-93.27277779
Minneapolis,763 Kasota Ave SE,Minnesota,United States,Amazon,44.98342181,-93.21699514
Nashville,50 Airways Blvd,Tennessee,United States,Amazon,36.13063845,-86.69244179
Newark,7 Riverview Ct #1b,New Jersey,United States,Amazon,40.73495658,-74.14091369
New Castle,1 Centerpoint Blvd,Delaware,United States,Amazon,39.66399334,-75.59013658
New York,450 W 33rd St,New York,United States,Amazon,40.75284305,-73.99967276
North Charleston,4900 Lacross Rd,South Carolina,United States,Amazon,33.14703185,-80.05222303
North Las Vegas,3837 Bay Lake Trail,Nevada,United States,Amazon,36.68536633,-115.1186387
Petersburg,5000 Commerce Way,Virgina,United States,Amazon,37.38378216,-77.46834454
Philadelphia,700 Ramona Ave,Pennsylvania,United States,Amazon,40.09335896,-75.08866359
Phoenix,5050 W Mohave St,Arizona,United States,Amazon,33.43271931,-112.1680381
Pittsburgh,2250 Roswell Dr,Pennsylvania,United States,Amazon,40.50233816,-80.10400694
Portland,1455 SW Broadway,Oregan,United States,Amazon,45.92397295,-122.8535658
Redondo Beach,2400 Marine Ave,California,United States,Amazon,33.89429345,-118.3696505
Reno,8000 N Virginia St,Nevada,United States,Amazon,40.19564366,-74.56495919
Robbinsville Township,50 New Canton Way,New Jersey,United States,Amazon,40.26509192,-74.5686974
Ruskin,3350 Laurel Ridge Ave,Florida,United States,Amazon,27.72769091,-82.3909486
Salem,4775 Depot Ct SE,Oregan,United States,Amazon,44.90269977,-122.9614413
San Antonio,4848 Perrin Creek,TExas,United States,Amazon,29.52627385,-98.40063043
San Diego,2727 Kurtz St,California,United States,Amazon,32.75017448,-117.201212
San Francisco,"188 Spear St, San Francisco",California,United States,Amazon,37.7914351,-122.392939
San Francisco,"475 Sansome St, San Francisco",California,United States,Amazon,37.79486637,-122.4018711
San Jose,96 E San Fernando St,California,United States,Amazon,37.7816578,-122.0449089
San Luis Obispo,1005 Monterey St,California,United States,Amazon,35.28197314,-120.661125
